id_client,region,sexe,age,revenu_estime_gnf,anciennete_mois,type_abonnement,forfait_international,messagerie_vocale,recharge_mensuelle_moy_gnf,moyen_paiement,minutes_jour,minutes_nuit,minutes_internationales,donnees_mo,ratio_data_voix,nombre_sms,appels_service_client,pannes_signalees_30j,nombre_reclamations,retard_paiement_jours,retour_client,resiliation
CLI00998,Labé,Homme,35,915000,2,Prépayé,Oui,Non,60000,Espèces,219,98,13,158,0.48,36,3,1,4,0,Aucun probleme depuis mon inscription.,Non
CLI00999,Mamou,Femme,18,375000,63,Prépayé,Oui,Non,27000,Orange Money,197,117,24,324,0.96,22,2,0,2,7,Tres satisfait du reseau et du service.,Non
CLI01000,Conakry,Homme,45,886000,31,Postpayé,Non,Oui,53000,Carte bancaire,164,229,3,4049,10.22,15,1,1,2,0,Facturation incorrecte plusieurs fois de suite.,Oui
CLI01001,Conakry,Homme,55,439000,12,Postpayé,Non,Oui,35000,Virement bancaire,166,119,2,3511,12.23,38,1,0,1,2,Aucun probleme depuis mon inscription.,Non
CLI01002,Labé,Femme,30,742000,5,Postpayé,Non,Oui,58000,Virement bancaire,70,59,0,3234,25.07,35,1,1,2,2,Rien de particulier a signaler.,Non
CLI01003,Kindia,Homme,50,857000,10,Prépayé,Non,Oui,71000,Virement bancaire,207,21,10,3142,13.2,22,1,1,3,0,Facturation incorrecte plusieurs fois de suite.,Oui
CLI01004,Kankan,Homme,32,445000,16,Prépayé,Non,Non,38000,Espèces,222,100,2,2746,8.48,20,0,0,0,4,Aucun probleme depuis mon inscription.,Non
CLI01005,Conakry,Femme,35,914000,29,Postpayé,Oui,Non,32000,Carte bancaire,259,102,49,1328,3.24,22,1,2,3,2,Service client reactif et efficace.,Non
CLI01006,Kindia,Femme,33,1430000,24,Prépayé,Non,Non,115000,Espèces,130,158,2,2307,7.96,18,2,0,2,0,Tres satisfait du reseau et du service.,Non
CLI01007,Conakry,Femme,27,357000,66,Postpayé,Non,Non,30000,Carte bancaire,204,105,6,2461,7.81,21,1,0,2,4,"Utilisation standard, pas de souci majeur.",Non
CLI01008,Boké,Homme,29,560000,24,Postpayé,Non,Oui,25000,Espèces,203,106,3,2310,7.4,10,1,1,2,3,"Utilisation standard, pas de souci majeur.",Non
CLI01009,N'Zérékoré,Homme,18,588000,30,Prépayé,Non,Oui,18000,Espèces,130,102,1,2985,12.81,2,2,1,3,0,Facturation incorrecte plusieurs fois de suite.,Oui
CLI01010,Conakry,Homme,36,2682000,29,Prépayé,Non,Oui,91000,Espèces,152,79,2,3650,15.67,3,2,1,3,7,"Bon rapport qualite prix, je recommande.",Non
CLI01011,Kankan,Homme,36,938000,11,Prépayé,Non,Oui,63000,Orange Money,166,73,8,1616,6.54,10,1,1,2,0,Service client reactif et efficace.,Non
CLI01012,Conakry,Femme,42,480000,24,Postpayé,Non,Non,32000,Orange Money,125,84,3,4147,19.56,15,1,2,3,2,"Je pense changer d'operateur, trop de pannes.",Oui
CLI01013,Kankan,Femme,34,838000,10,Postpayé,Non,Non,34000,Espèces,216,65,0,2424,8.63,18,4,0,4,0,Tres satisfait du reseau et du service.,Non
CLI01014,Labé,Femme,39,397000,10,Prépayé,Non,Non,14000,Virement bancaire,178,79,1,73,0.28,17,0,0,0,0,"Utilisation standard, pas de souci majeur.",Non
CLI01015,Conakry,Femme,59,742000,89,Prépayé,Non,Oui,65000,Espèces,220,98,2,1556,4.86,11,0,0,0,0,Service client reactif et efficace.,Non
CLI01016,Kankan,Femme,45,1053000,19,Prépayé,Non,Oui,77000,Virement bancaire,230,67,7,662,2.18,45,2,0,2,0,Offres interessantes et service fiable.,Non
CLI01017,Kankan,Femme,33,615000,14,Prépayé,Non,Non,19000,Espèces,200,101,3,3958,13.02,5,1,1,2,0,Tres satisfait du reseau et du service.,Non
CLI01018,Conakry,Homme,37,1185000,96,Prépayé,Non,Oui,80000,Carte bancaire,319,119,8,2109,4.73,9,1,0,2,0,Service client reactif et efficace.,Non
CLI01019,Conakry,Homme,34,1018000,24,Postpayé,Non,Oui,54000,Espèces,143,155,1,208,0.7,77,1,0,1,1,"Utilisation standard, pas de souci majeur.",Non
CLI01020,Conakry,Homme,48,757000,96,Prépayé,Non,Non,65000,Carte bancaire,256,73,1,4178,12.66,19,1,1,2,0,Tres satisfait du reseau et du service.,Non
CLI01021,Labé,Femme,29,300000,2,Postpayé,Non,Oui,13000,Orange Money,177,168,2,3408,9.82,13,2,0,3,0,Service client reactif et efficace.,Non
CLI01022,N'Zérékoré,Homme,46,708000,4,Postpayé,Non,Oui,59000,Orange Money,218,86,1,897,2.94,75,1,1,2,1,Le service client ne repond jamais rapidement.,Oui
CLI01023,Kankan,Femme,39,1225000,3,Prépayé,Non,Oui,41000,Orange Money,133,42,2,1870,10.56,66,2,0,3,0,"Bon rapport qualite prix, je recommande.",Non
CLI01024,Kindia,Femme,18,368000,18,Postpayé,Non,Oui,32000,Orange Money,207,32,1,3103,12.93,20,1,0,1,1,Tres decu par la qualite du reseau en ce moment.,Oui
CLI01025,Conakry,Femme,39,1202000,2,Postpayé,Non,Non,74000,Orange Money,183,119,1,2281,7.53,79,1,0,1,0,Service correct dans l'ensemble.,Non
CLI01026,Labé,Femme,28,930000,8,Prépayé,Oui,Oui,39000,Orange Money,256,79,59,3482,8.84,50,2,1,3,2,Trop cher par rapport a la qualite recue.,Oui
CLI01027,Labé,Homme,24,576000,11,Postpayé,Oui,Non,44000,Espèces,194,157,26,4496,11.93,26,1,0,1,2,Service correct dans l'ensemble.,Non
CLI01028,Conakry,Homme,34,300000,52,Illimité,Non,Oui,17000,Espèces,139,48,1,3156,16.79,28,1,0,1,0,Service correct dans l'ensemble.,Non
CLI01029,Labé,Femme,37,831000,16,Prépayé,Non,Non,53000,Orange Money,77,76,0,2353,15.38,8,1,0,1,1,Rien de particulier a signaler.,Non
CLI01030,N'Zérékoré,Femme,61,1852000,14,Prépayé,Non,Non,56000,Espèces,198,63,1,2721,10.39,46,1,0,3,0,"Bon rapport qualite prix, je recommande.",Non
CLI01031,Conakry,Femme,35,688000,11,Prépayé,Non,Non,44000,Orange Money,79,60,0,2419,17.4,18,1,1,2,3,Le forfait ne correspond plus a mes besoins.,Oui
CLI01032,Kindia,Femme,25,1006000,17,Postpayé,Non,Oui,47000,Orange Money,220,48,4,1835,6.75,1,2,0,2,4,Aucun probleme depuis mon inscription.,Non
CLI01033,Kankan,Homme,33,898000,19,Postpayé,Non,Non,42000,Espèces,206,124,1,2521,7.62,0,5,0,5,0,Trop cher par rapport a la qualite recue.,Oui
CLI01034,Conakry,Femme,39,1297000,12,Prépayé,Non,Oui,52000,Orange Money,192,138,0,2447,7.42,10,1,0,1,0,Aucun probleme depuis mon inscription.,Non
CLI01035,Conakry,Femme,24,488000,22,Illimité,Non,Oui,27000,Espèces,142,133,3,1681,6.05,222,1,0,2,1,Tres satisfait du reseau et du service.,Non
CLI01036,Conakry,Femme,32,480000,1,Prépayé,Non,Oui,14000,Orange Money,133,82,3,3948,18.11,13,4,2,6,5,Tres decu par la qualite du reseau en ce moment.,Oui
CLI01037,Faranah,Femme,18,901000,43,Prépayé,Oui,Oui,28000,Orange Money,228,19,95,2946,8.61,18,0,0,0,0,"Bon rapport qualite prix, je recommande.",Non
CLI01038,Conakry,Femme,21,1130000,65,Postpayé,Non,Oui,54000,Orange Money,166,78,3,2009,8.13,21,2,1,3,1,"Bon rapport qualite prix, je recommande.",Non
CLI01039,Conakry,Femme,29,417000,4,Illimité,Non,Non,37000,Virement bancaire,223,64,2,3975,13.75,3,2,1,3,0,Service correct dans l'ensemble.,Non
CLI01040,Mamou,Homme,42,335000,8,Prépayé,Non,Oui,20000,Carte bancaire,235,133,1,3139,8.51,7,1,0,1,7,"Bon rapport qualite prix, je recommande.",Non
CLI01041,Faranah,Homme,24,496000,52,Postpayé,Non,Oui,30000,Orange Money,202,98,1,3919,13.02,3,0,0,0,0,Service client reactif et efficace.,Non
CLI01042,Faranah,Femme,25,1543000,28,Prépayé,Non,Oui,130000,Orange Money,202,103,0,92,0.3,24,2,1,4,0,"Utilisation standard, pas de souci majeur.",Non
CLI01043,Boké,Homme,33,857000,7,Prépayé,Non,Oui,45000,Espèces,196,134,3,1355,4.07,14,2,0,4,0,Content de la couverture reseau dans ma zone.,Non
CLI01044,N'Zérékoré,Femme,23,718000,14,Prépayé,Non,Oui,27000,Espèces,161,26,1,1451,7.72,8,0,1,1,0,Aucune reponse a mes reclamations depuis un mois.,Oui
CLI01045,Conakry,Homme,28,632000,5,Prépayé,Non,Non,41000,Orange Money,208,103,1,2620,8.4,33,0,0,0,2,Service client reactif et efficace.,Non
CLI01046,Boké,Homme,24,636000,1,Prépayé,Non,Oui,41000,Orange Money,100,101,1,3707,18.35,6,1,1,2,0,"Bon rapport qualite prix, je recommande.",Non
CLI01047,Kindia,Homme,53,654000,56,Postpayé,Oui,Non,32000,Espèces,174,74,62,3042,9.81,9,2,1,3,0,Tres decu par la qualite du reseau en ce moment.,Oui
CLI01048,Labé,Homme,29,385000,27,Postpayé,Non,Non,22000,Carte bancaire,204,100,4,1624,5.27,74,2,0,2,1,Tres satisfait du reseau et du service.,Non
CLI01049,Conakry,Homme,49,1042000,25,Illimité,Non,Oui,51000,Espèces,181,64,0,3914,15.98,16,2,0,3,2,Rien de particulier a signaler.,Non
CLI01050,Conakry,Homme,35,1348000,11,Prépayé,Non,Non,70000,Espèces,205,102,1,2051,6.66,6,1,0,2,8,"Je pense changer d'operateur, trop de pannes.",Oui
CLI01051,N'Zérékoré,Homme,53,793000,30,Prépayé,Non,Oui,61000,Orange Money,249,77,0,1068,3.28,3,2,0,2,6,"Utilisation standard, pas de souci majeur.",Non
CLI01052,Kindia,Homme,23,1282000,20,Postpayé,Non,Oui,65000,Orange Money,209,58,0,2074,7.77,15,1,0,1,3,Tres satisfait du reseau et du service.,Non
CLI01053,Boké,Homme,36,437000,5,Illimité,Non,Oui,16000,Orange Money,110,28,0,1268,9.19,2,1,0,1,0,"Bon rapport qualite prix, je recommande.",Non
CLI01054,N'Zérékoré,Homme,18,1146000,11,Postpayé,Non,Non,57000,Orange Money,176,84,7,50,0.19,17,1,1,2,3,Tres satisfait du reseau et du service.,Non
CLI01055,Kindia,Homme,48,1415000,42,Prépayé,Non,Oui,74000,Orange Money,243,116,5,3180,8.74,25,1,1,2,0,Service correct dans l'ensemble.,Non
CLI01056,Kindia,Homme,41,300000,20,Prépayé,Non,Non,10000,Orange Money,178,43,0,4537,20.53,22,3,0,3,0,"Bon rapport qualite prix, je recommande.",Non
CLI01057,Labé,Homme,30,300000,4,Postpayé,Non,Oui,17000,Orange Money,118,71,5,2578,13.29,13,2,0,3,3,Le service client ne repond jamais rapidement.,Oui
CLI01058,Conakry,Femme,56,1705000,8,Prépayé,Non,Oui,83000,Orange Money,177,99,2,1240,4.46,100,1,1,3,0,Aucun probleme depuis mon inscription.,Non
CLI01059,Conakry,Homme,66,959000,66,Postpayé,Non,Non,65000,Espèces,208,112,0,3660,11.44,7,3,0,4,5,Content de la couverture reseau dans ma zone.,Non
CLI01060,Mamou,Femme,51,909000,6,Postpayé,Non,Oui,62000,Carte bancaire,173,50,6,361,1.58,24,2,0,3,4,Trop de coupures de reseau ces derniers temps.,Oui
CLI01061,Kindia,Homme,52,477000,3,Prépayé,Oui,Oui,29000,Orange Money,128,58,41,345,1.52,5,1,1,4,11,Rien de particulier a signaler.,Oui
CLI01062,Conakry,Femme,35,938000,5,Illimité,Non,Non,77000,Orange Money,118,102,1,1320,5.97,3,2,0,2,6,"Bon rapport qualite prix, je recommande.",Non
CLI01063,Conakry,Homme,25,1068000,7,Prépayé,Oui,Oui,57000,Espèces,232,95,36,1139,3.14,53,2,0,2,0,"Utilisation standard, pas de souci majeur.",Non
CLI01064,Faranah,Homme,18,914000,11,Postpayé,Oui,Oui,68000,Orange Money,265,71,12,521,1.5,16,0,2,4,0,"Utilisation standard, pas de souci majeur.",Oui
CLI01065,Faranah,Homme,46,1129000,10,Prépayé,Non,Oui,43000,Virement bancaire,261,66,2,1315,4.0,36,0,0,0,0,Service correct dans l'ensemble.,Non
CLI01066,Boké,Homme,18,930000,26,Prépayé,Non,Non,51000,Orange Money,253,61,1,2201,6.99,9,0,0,0,0,"Utilisation standard, pas de souci majeur.",Non
CLI01067,Conakry,Femme,32,588000,13,Prépayé,Non,Oui,33000,Carte bancaire,214,129,0,3357,9.79,32,1,1,2,3,Facturation incorrecte plusieurs fois de suite.,Oui
CLI01068,Kankan,Femme,53,448000,14,Prépayé,Oui,Oui,40000,Orange Money,208,100,51,1483,4.13,16,3,0,3,0,Tres satisfait du reseau et du service.,Non
CLI01069,Conakry,Homme,38,492000,3,Prépayé,Oui,Non,22000,Espèces,238,157,54,2254,5.02,52,1,0,2,2,"Bon rapport qualite prix, je recommande.",Non
CLI01070,Faranah,Homme,20,1003000,3,Illimité,Non,Oui,62000,Orange Money,151,115,1,3257,12.2,10,1,0,1,17,Trop de coupures de reseau ces derniers temps.,Oui
CLI01071,Conakry,Femme,25,774000,5,Postpayé,Oui,Non,67000,Espèces,267,111,44,2140,5.07,19,1,2,3,0,Tres decu par la qualite du reseau en ce moment.,Oui
CLI01072,N'Zérékoré,Femme,48,1053000,24,Postpayé,Non,Oui,40000,Espèces,159,75,1,3067,13.05,6,1,1,3,4,Offres interessantes et service fiable.,Non
CLI01073,Kankan,Femme,23,660000,1,Postpayé,Non,Non,55000,Orange Money,188,75,2,1652,6.23,1,0,3,3,6,Le service client ne repond jamais rapidement.,Oui
CLI01074,Boké,Femme,29,880000,23,Postpayé,Non,Oui,67000,Espèces,197,80,0,2774,10.01,59,0,0,0,0,Service client reactif et efficace.,Non
CLI01075,Boké,Homme,19,1356000,29,Prépayé,Non,Non,72000,Orange Money,190,123,2,3070,9.75,19,0,0,0,0,Rien de particulier a signaler.,Non
CLI01076,Labé,Homme,33,2642000,3,Prépayé,Oui,Non,223000,Orange Money,129,56,37,1198,5.4,4,0,1,1,0,Offres interessantes et service fiable.,Non
CLI01077,Mamou,Homme,27,421000,48,Prépayé,Non,Oui,31000,Espèces,208,71,0,4604,16.5,36,1,0,3,0,"Bon rapport qualite prix, je recommande.",Non
CLI01078,Labé,Homme,45,753000,25,Prépayé,Non,Non,67000,Espèces,130,104,1,1373,5.84,101,0,1,2,0,Aucun probleme depuis mon inscription.,Non
CLI01079,Faranah,Femme,23,887000,17,Postpayé,Non,Oui,59000,Virement bancaire,183,0,0,4348,23.76,36,3,0,4,0,Service correct dans l'ensemble.,Oui
CLI01080,Conakry,Femme,29,908000,20,Prépayé,Non,Oui,63000,Orange Money,175,97,4,757,2.74,74,2,0,2,9,Trop de coupures de reseau ces derniers temps.,Oui
CLI01081,Kindia,Homme,18,541000,31,Prépayé,Non,Oui,33000,Carte bancaire,145,33,0,2599,14.6,15,1,0,1,0,"Je pense changer d'operateur, trop de pannes.",Oui
CLI01082,Faranah,Femme,48,692000,39,Prépayé,Non,Oui,26000,Espèces,191,63,0,1905,7.5,7,0,1,1,0,"Bon rapport qualite prix, je recommande.",Non
CLI01083,Boké,Femme,47,478000,2,Postpayé,Non,Non,14000,Orange Money,185,108,0,2726,9.3,11,0,0,0,0,Content de la couverture reseau dans ma zone.,Non
CLI01084,N'Zérékoré,Homme,31,366000,4,Postpayé,Oui,Non,20000,Orange Money,69,87,62,3285,15.07,13,0,1,1,0,Le service client ne repond jamais rapidement.,Oui
CLI01085,Labé,Homme,36,748000,7,Postpayé,Non,Non,53000,Orange Money,211,67,3,1944,6.92,26,1,1,2,1,Trop de coupures de reseau ces derniers temps.,Oui
CLI01086,Kindia,Femme,39,515000,34,Postpayé,Non,Non,25000,Espèces,74,61,3,3361,24.36,16,0,0,0,0,Tres satisfait du reseau et du service.,Non
CLI01087,Kankan,Homme,46,1010000,25,Prépayé,Non,Oui,83000,Espèces,231,68,5,3352,11.03,9,3,0,4,13,"Bon rapport qualite prix, je recommande.",Non
CLI01088,Boké,Femme,18,617000,33,Postpayé,Non,Oui,54000,Orange Money,118,133,7,4065,15.76,5,0,3,3,1,Le forfait ne correspond plus a mes besoins.,Oui
CLI01089,Labé,Femme,24,926000,96,Postpayé,Non,Oui,48000,Orange Money,264,32,1,5047,16.99,10,3,2,5,4,Tres satisfait du reseau et du service.,Non
CLI01090,Mamou,Femme,59,914000,10,Prépayé,Oui,Oui,53000,Espèces,246,130,16,50,0.13,14,1,1,3,0,Tres satisfait du reseau et du service.,Non
CLI01091,Kankan,Homme,47,783000,22,Prépayé,Non,Oui,56000,Espèces,72,57,0,1751,13.57,88,2,0,2,3,Trop de coupures de reseau ces derniers temps.,Oui
CLI01092,Conakry,Homme,41,1191000,7,Postpayé,Non,Non,106000,Espèces,134,56,6,2930,14.95,2,0,1,1,4,Trop cher par rapport a la qualite recue.,Oui
CLI01093,Kankan,Femme,34,976000,1,Prépayé,Oui,Non,65000,Espèces,106,75,72,2648,10.47,6,3,0,3,2,Service correct dans l'ensemble.,Non
CLI01094,Labé,Femme,43,1356000,74,Postpayé,Non,Oui,111000,Orange Money,109,156,2,1324,4.96,10,0,1,1,1,Aucun probleme depuis mon inscription.,Non
CLI01095,Kindia,Femme,44,335000,1,Prépayé,Oui,Non,12000,Espèces,170,146,18,3822,11.44,37,1,2,3,1,Tres satisfait du reseau et du service.,Non
CLI01096,Kindia,Femme,44,1280000,96,Postpayé,Non,Oui,83000,Orange Money,257,140,2,4113,10.31,6,0,0,0,0,Service correct dans l'ensemble.,Non
CLI01097,N'Zérékoré,Femme,22,1493000,2,Prépayé,Oui,Oui,93000,Orange Money,169,27,46,2480,10.25,13,0,0,1,3,Rien de particulier a signaler.,Oui
CLI01098,N'Zérékoré,Femme,34,319000,50,Prépayé,Non,Oui,18000,Orange Money,147,86,0,1172,5.03,55,2,1,3,22,"Utilisation standard, pas de souci majeur.",Oui
CLI01099,Labé,Femme,39,490000,19,Prépayé,Non,Oui,28000,Orange Money,229,102,4,1666,4.97,25,1,0,1,0,"Utilisation standard, pas de souci majeur.",Non
CLI01100,Kindia,Femme,38,392000,1,Prépayé,Non,Oui,29000,Orange Money,225,65,1,3579,12.3,25,1,0,1,3,"Bon rapport qualite prix, je recommande.",Non
CLI01101,N'Zérékoré,Homme,23,801000,38,Illimité,Non,Oui,40000,Espèces,206,0,1,2218,10.71,34,1,1,2,0,"Utilisation standard, pas de souci majeur.",Non
CLI01102,Conakry,Homme,32,900000,2,Illimité,Non,Oui,53000,Espèces,229,67,2,1920,6.44,69,1,1,2,4,Offres interessantes et service fiable.,Non
CLI01103,Conakry,Homme,23,566000,17,Postpayé,Oui,Oui,34000,Orange Money,164,26,8,2596,13.11,58,2,1,4,0,Tres decu par la qualite du reseau en ce moment.,Oui
CLI01104,Boké,Homme,30,1162000,28,Prépayé,Non,Non,69000,Virement bancaire,197,143,4,3966,11.53,6,0,0,0,0,Rien de particulier a signaler.,Non
CLI01105,Labé,Homme,37,357000,37,Postpayé,Non,Oui,32000,Virement bancaire,188,27,0,1008,4.69,72,0,1,2,0,"Utilisation standard, pas de souci majeur.",Non
CLI01106,Conakry,Femme,41,581000,29,Prépayé,Non,Non,38000,Carte bancaire,18,121,2,3484,24.71,26,2,0,2,19,Facturation incorrecte plusieurs fois de suite.,Oui
CLI01107,Conakry,Homme,41,613000,96,Postpayé,Oui,Non,52000,Virement bancaire,262,0,43,1081,3.54,16,1,1,3,0,Service client reactif et efficace.,Non
CLI01108,Conakry,Homme,45,700000,40,Postpayé,Oui,Oui,55000,Virement bancaire,208,54,64,4927,15.11,69,1,0,2,2,Offres interessantes et service fiable.,Non
CLI01109,Conakry,Femme,36,2392000,7,Postpayé,Non,Non,206000,Espèces,267,142,1,2438,5.95,21,0,1,1,3,"Bon rapport qualite prix, je recommande.",Non
CLI01110,Conakry,Femme,20,479000,7,Postpayé,Non,Non,20000,Orange Money,130,68,1,2571,12.92,52,0,1,1,0,Service client reactif et efficace.,Non
CLI01111,Conakry,Homme,35,506000,19,Prépayé,Oui,Non,39000,Espèces,8,125,96,2371,10.35,25,4,0,4,0,Trop cher par rapport a la qualite recue.,Oui
CLI01112,Conakry,Homme,29,614000,5,Prépayé,Non,Non,46000,Carte bancaire,112,85,1,2087,10.54,0,1,0,1,3,Offres interessantes et service fiable.,Non
CLI01113,Kindia,Homme,18,2308000,12,Postpayé,Non,Non,129000,Orange Money,133,74,13,1873,8.51,14,0,0,0,0,"Bon rapport qualite prix, je recommande.",Non
CLI01114,Conakry,Homme,27,1305000,17,Prépayé,Non,Non,68000,Espèces,201,97,2,3418,11.39,8,0,0,0,2,Service client reactif et efficace.,Non
CLI01115,Kankan,Homme,39,727000,20,Postpayé,Oui,Oui,38000,Orange Money,68,116,51,2511,10.69,31,3,0,3,0,"Bon rapport qualite prix, je recommande.",Non
CLI01116,Kindia,Homme,46,448000,1,Postpayé,Non,Oui,26000,Orange Money,175,165,2,3332,9.74,17,0,1,1,1,Tres satisfait du reseau et du service.,Non
CLI01117,Conakry,Homme,33,1265000,5,Postpayé,Non,Oui,70000,Carte bancaire,181,67,2,1840,7.36,2,0,0,2,0,Service correct dans l'ensemble.,Non
CLI01118,Mamou,Homme,19,1871000,18,Illimité,Non,Non,99000,Espèces,174,92,3,1592,5.92,10,0,3,3,7,Service correct dans l'ensemble.,Non
CLI01119,Kankan,Femme,34,1203000,10,Prépayé,Non,Oui,107000,Orange Money,257,69,6,1564,4.71,28,1,4,5,1,Tres satisfait du reseau et du service.,Non
CLI01120,Kindia,Femme,26,706000,96,Illimité,Non,Oui,28000,Espèces,137,57,4,3903,19.71,27,2,0,3,0,"Bon rapport qualite prix, je recommande.",Non
CLI01121,Conakry,Femme,48,1520000,4,Postpayé,Non,Oui,54000,Orange Money,252,49,3,1120,3.68,17,5,1,6,3,"Utilisation standard, pas de souci majeur.",Oui
CLI01122,Mamou,Homme,20,689000,75,Prépayé,Non,Oui,60000,Espèces,262,0,5,4124,15.45,13,0,0,0,1,Content de la couverture reseau dans ma zone.,Non
CLI01123,Faranah,Femme,44,750000,32,Prépayé,Non,Oui,44000,Virement bancaire,238,142,2,2543,6.66,5,3,0,4,1,Content de la couverture reseau dans ma zone.,Non
CLI01124,Kankan,Homme,32,1005000,5,Prépayé,Non,Non,61000,Orange Money,201,102,11,2899,9.23,49,0,1,1,0,Service correct dans l'ensemble.,Non
CLI01125,Faranah,Femme,38,605000,15,Prépayé,Oui,Non,31000,Orange Money,135,76,24,4386,18.66,23,2,1,3,0,Le forfait ne correspond plus a mes besoins.,Oui
CLI01126,Labé,Homme,26,321000,96,Prépayé,Non,Non,26000,Espèces,161,72,1,2504,10.7,17,3,1,4,4,Content de la couverture reseau dans ma zone.,Non
CLI01127,Kindia,Femme,40,1196000,58,Postpayé,Non,Non,40000,Espèces,284,106,3,4872,12.4,9,0,0,3,0,Content de la couverture reseau dans ma zone.,Non
CLI01128,Conakry,Femme,34,618000,1,Illimité,Non,Oui,48000,Orange Money,220,111,3,3354,10.04,16,1,1,2,0,Content de la couverture reseau dans ma zone.,Non
CLI01129,Conakry,Homme,32,1043000,38,Prépayé,Non,Non,61000,Espèces,161,121,9,3702,12.72,1,1,1,2,0,Facturation incorrecte plusieurs fois de suite.,Oui
CLI01130,Kankan,Femme,22,967000,6,Postpayé,Oui,Non,40000,Espèces,210,121,60,2583,6.61,59,2,0,2,0,Offres interessantes et service fiable.,Non
CLI01131,Labé,Homme,28,863000,8,Postpayé,Non,Non,42000,Espèces,226,75,3,5495,18.08,7,3,1,4,0,Le service client ne repond jamais rapidement.,Oui
CLI01132,Conakry,Femme,18,697000,37,Prépayé,Non,Oui,51000,Espèces,190,77,3,2924,10.83,33,1,0,1,6,Aucun probleme depuis mon inscription.,Non
CLI01133,Conakry,Homme,40,612000,1,Prépayé,Non,Oui,39000,Carte bancaire,142,138,2,3232,11.46,17,0,0,0,11,Aucun probleme depuis mon inscription.,Non
CLI01134,Conakry,Homme,31,503000,23,Prépayé,Non,Oui,18000,Virement bancaire,179,100,6,2377,8.34,40,2,0,3,0,Facturation incorrecte plusieurs fois de suite.,Oui
CLI01135,Faranah,Homme,51,344000,67,Postpayé,Non,Non,18000,Carte bancaire,289,42,3,3873,11.6,0,2,2,4,0,"Bon rapport qualite prix, je recommande.",Non
CLI01136,Conakry,Femme,18,797000,7,Prépayé,Oui,Non,25000,Carte bancaire,141,133,67,4593,13.47,21,0,0,0,1,Aucun probleme depuis mon inscription.,Non
CLI01137,Conakry,Homme,52,492000,51,Postpayé,Non,Oui,21000,Carte bancaire,74,76,2,1119,7.36,2,1,1,2,1,Offres interessantes et service fiable.,Non
CLI01138,Kindia,Femme,39,408000,72,Prépayé,Non,Oui,15000,Carte bancaire,169,67,0,2551,10.81,2,0,1,1,5,Offres interessantes et service fiable.,Non
CLI01139,Kindia,Femme,29,637000,32,Postpayé,Oui,Non,22000,Espèces,211,130,42,3412,8.91,23,1,3,4,6,Offres interessantes et service fiable.,Non
CLI01140,Faranah,Homme,40,604000,19,Prépayé,Non,Oui,41000,Carte bancaire,261,86,8,2688,7.57,12,1,1,2,8,Le service client ne repond jamais rapidement.,Oui
CLI01141,Labé,Homme,20,422000,41,Prépayé,Non,Oui,16000,Orange Money,154,49,4,3050,14.73,3,2,0,4,0,Service client reactif et efficace.,Non
CLI01142,Boké,Homme,19,422000,96,Prépayé,Oui,Non,22000,Orange Money,135,41,75,3325,13.25,13,2,0,2,2,Offres interessantes et service fiable.,Non
CLI01143,N'Zérékoré,Femme,48,787000,50,Prépayé,Non,Oui,29000,Orange Money,132,94,0,2834,12.54,1,3,0,3,2,Content de la couverture reseau dans ma zone.,Non
CLI01144,Kankan,Homme,18,434000,30,Illimité,Oui,Oui,25000,Espèces,284,169,63,2649,5.13,46,2,0,2,0,Content de la couverture reseau dans ma zone.,Non
CLI01145,Conakry,Homme,34,1166000,22,Prépayé,Non,Oui,72000,Orange Money,144,30,6,4454,24.74,18,2,0,2,0,Offres interessantes et service fiable.,Non
CLI01146,Conakry,Femme,49,706000,22,Prépayé,Non,Non,32000,Espèces,206,121,8,2800,8.36,2,1,1,2,2,Content de la couverture reseau dans ma zone.,Non
CLI01147,Kindia,Femme,35,1102000,25,Prépayé,Non,Oui,73000,Carte bancaire,122,10,4,3879,28.52,33,0,0,2,8,Aucun probleme depuis mon inscription.,Non
CLI01148,Conakry,Homme,49,461000,88,Postpayé,Non,Non,23000,Espèces,98,77,1,2625,14.91,87,1,2,3,0,"Bon rapport qualite prix, je recommande.",Non
CLI01149,Faranah,Femme,32,659000,8,Prépayé,Non,Non,44000,Espèces,73,172,2,1450,5.87,22,2,0,3,0,Aucun probleme depuis mon inscription.,Non
CLI01150,Faranah,Femme,27,393000,6,Prépayé,Non,Oui,23000,Carte bancaire,175,56,0,1526,6.61,36,0,0,1,2,Le service client ne repond jamais rapidement.,Oui
CLI01151,Conakry,Homme,47,938000,35,Postpayé,Non,Oui,42000,Orange Money,187,117,1,2112,6.92,74,2,0,3,1,Aucun probleme depuis mon inscription.,Non
CLI01152,N'Zérékoré,Homme,44,1567000,12,Postpayé,Oui,Non,63000,Virement bancaire,307,124,67,3030,6.08,0,0,0,0,5,Rien de particulier a signaler.,Non
CLI01153,Labé,Femme,33,312000,4,Postpayé,Non,Non,24000,Orange Money,153,140,4,5825,19.61,19,0,1,2,3,Content de la couverture reseau dans ma zone.,Non
CLI01154,Conakry,Homme,50,782000,28,Prépayé,Non,Non,26000,Orange Money,145,154,0,2741,9.17,2,1,0,1,2,"Je pense changer d'operateur, trop de pannes.",Oui
CLI01155,Mamou,Homme,22,675000,26,Postpayé,Oui,Oui,42000,Espèces,201,137,57,50,0.13,5,0,0,1,3,Service client reactif et efficace.,Non
